date,time,member,event_type,room,devices
2026-06-11,14:55,Ananya,TV time,Living Room,TV|Lights
2026-06-11,20:55,Ananya,Bedtime,Kids Room,Lights|AC
2026-06-10,06:35,Rajesh,Wake up,Master Bedroom,Lights|Geyser
2026-06-10,08:05,Rajesh,Leave home,Balcony,Lock|Camera
2026-06-10,18:35,Rajesh,Arrive home,Balcony,Lock|AC|Lights
2026-06-10,23:05,Rajesh,Bedtime,Master Bedroom,AC|Lights
2026-06-10,06:05,Priya,Wake up,Master Bedroom,Lights|Geyser
2026-06-10,07:05,Priya,Start cooking,Kitchen,Kitchen Hub|Lights
2026-06-10,12:05,Priya,Start cooking,Kitchen,Kitchen Hub
2026-06-10,22:35,Priya,Bedtime,Master Bedroom,AC|Lights
2026-06-10,07:05,Arjun,Wake up,Kids Room,Lights
2026-06-10,16:05,Arjun,Online class,Study Room,Lights|AC|Echo
2026-06-10,22:05,Arjun,Bedtime,Kids Room,Lights|AC
2026-06-10,06:05,Dadaji,Wake up,Master Bedroom,Lights
2026-06-10,13:05,Dadaji,Afternoon rest,Living Room,AC|Lights
2026-06-10,21:35,Dadaji,Bedtime,Master Bedroom,AC|Lights
2026-06-10,07:35,Ananya,Wake up,Kids Room,Lights
2026-06-10,15:05,Ananya,TV time,Living Room,TV|Lights
2026-06-10,21:05,Ananya,Bedtime,Kids Room,Lights|AC
2026-06-09,06:30,Rajesh,Wake up,Master Bedroom,Lights|Geyser
2026-06-09,08:00,Rajesh,Leave home,Balcony,Lock|Camera
2026-06-09,18:30,Rajesh,Arrive home,Balcony,Lock|AC|Lights
2026-06-09,23:00,Rajesh,Bedtime,Master Bedroom,AC|Lights
2026-06-09,06:00,Priya,Wake up,Master Bedroom,Lights|Geyser
2026-06-09,07:00,Priya,Start cooking,Kitchen,Kitchen Hub|Lights
2026-06-09,12:00,Priya,Start cooking,Kitchen,Kitchen Hub
2026-06-09,22:30,Priya,Bedtime,Master Bedroom,AC|Lights
2026-06-09,07:00,Arjun,Wake up,Kids Room,Lights
2026-06-09,16:00,Arjun,Online class,Study Room,Lights|AC|Echo
2026-06-09,22:00,Arjun,Bedtime,Kids Room,Lights|AC
2026-06-09,06:00,Dadaji,Wake up,Master Bedroom,Lights
2026-06-09,13:00,Dadaji,Afternoon rest,Living Room,AC|Lights
2026-06-09,21:30,Dadaji,Bedtime,Master Bedroom,AC|Lights
2026-06-09,07:30,Ananya,Wake up,Kids Room,Lights
2026-06-09,15:00,Ananya,TV time,Living Room,TV|Lights
2026-06-09,21:00,Ananya,Bedtime,Kids Room,Lights|AC
2026-06-11,16:30,Ananya,Birthday party,Living Room,TV|Lights|Echo
2026-06-13,10:30,Priya,Doctor visit,Balcony,Lock
2026-06-10,19:00,Rajesh,Movie night,Living Room,TV|AC|Lights
